DisplayName;ServiceName;StartType;ServiceType;Description
Gerenciador de Identidades de Rede de Par;p2pimsvc;Disabled;Win32ShareProcess;"Fornece serviços de identidade para os serviços Protocolo PNRP e Agrupamento Ponto a Ponto. Se forem desabilitados, esses serviços poderão não funcionar e alguns aplicativos, como HomeGroup e Remote Assistance, poderão não funcionar corretamente."
Gerenciador de Instalação de Dispositivo;DsmSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Habilita a detecção, o download e a instalação de software relacionado a dispositivos. Se este serviço for desabilitado, os dispositivos poderão ser configurados com software desatualizado e talvez não funcionem corretamente."
Gerenciador de Mapas Baixados;MapsBroker;Disabled;Win32OwnProcess;"Serviço Windows para acessar mapas baixados usando um aplicativo. Este serviço é iniciado sob demanda pelo aplicativo que acessa os mapas baixados. Desabilitar este serviço impedirá que os aplicativos acessem os mapas."
Gerenciador de NFC/SE e Pagamentos;SEMgrSvc;Manual;Win32OwnProcess;"Gerencia pagamentos e elementos seguros baseados em comunicação a curta distância (NFC)."
Gerenciador de Sessão Local;LSM;Automatic;Win32OwnProcess, Win32ShareProcess;"Serviço central do Windows que gerencia sessões de usuário local. Se esse serviço for interrompido ou desabilitado, o sistema ficará instável."
Gerenciador de Usuários;UserManager;Automatic;Win32OwnProcess, Win32ShareProcess;"O Gerenciador de Usuários fornece componentes de tempo de execução necessários para a interação entre vários usuários. Se esse serviço for interrompido, é possível que alguns aplicativos não funcionem corretamente."
Gerenciamento de aplicativo;AppMgmt;Disabled;Win32ShareProcess;"Processa solicitações de instalação, remoção e enumeração do software implantado por meio da Política de Grupo. Se o serviço estiver desabilitado, os usuários não conseguirão instalar, remover nem enumerar o software implantado por meio da Política de Grupo. Se este serviço estiver desabilitado, qualquer serviço que dependa explicitamente dele não será iniciado."
Gerenciamento de Camadas de Armazenamento;TieringEngineService;Manual;Win32OwnProcess;"Otimiza o posicionamento dos dados nas camadas de armazenamento em todos os espaços de armazenamento em camadas do sistema."
Gerente de Contas de Segurança;SamSs;Automatic;Win32ShareProcess;"A inicialização deste serviço indica a outros serviços que o Gerente de Contas de Segurança (SAM) está pronto para aceitar solicitações. Ao desabilitar o serviço, você impede que outros serviços do sistema sejam notificados de que o SAM está pronto, o que, por sua vez, pode causar erro na inicialização de outros serviços. Este serviço não deve ser desabilitado."
Google Chrome Elevation Service;GoogleChromeElevationService;Manual;Win32OwnProcess;""
GraphicsPerfSvc;GraphicsPerfSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Graphics performance monitor service"
Hora da Rede Celular;autotimesvc;Manual;Win32OwnProcess;"Este serviço define a hora com base nas mensagens do NITZ de uma rede móvel"
Horário do Windows;W32Time;Manual;Win32OwnProcess, Win32ShareProcess;"Mantém sincronização de data e hora em todos os clientes e servidores da rede. Se este serviço for interrompido, a sincronização não ficará disponível. Se este serviço for desativado, os serviços que dele dependem explicitamente não serão iniciados."
Host de dispositivo UPnP;upnphost;Manual;Win32ShareProcess;"Permite a hospedagem de dispositivos UPnP neste computador. Se este serviço for interrompido, os dispositivos UPnP hospedados deixarão de funcionar e não será possível adicionar nenhum outro dispositivo hospedado. Se esse serviço for desabilitado, os serviços que dependerem dele explicitamente não serão iniciados."
Host de DLL de Contador de Desempenho;PerfHost;Manual;Win32OwnProcess;"Permite que usuários remotos e processos de 64 bits consultem contadores de desempenho fornecidos por DLLs de 32 bits. Se esse serviço for parado, apenas usuários locais e processos de 32 bits poderão consultar contadores de desempenho fornecidos por DLLs de 32 bits."
Host de Provedor da Descoberta de Função;fdPHost;Manual;Win32OwnProcess, Win32ShareProcess;"O serviço FDPHOST hospeda os provedores de descoberta de rede de FD (Function Discovery, Descoberta de Função). Esses provedores de FD fornecem serviços de descoberta de rede para o protocolo SSDP e o protocolo WS-D. A interrupção ou desativação do serviço FDPHOST desabilitará a descoberta de rede para esses protocolos ao usar FD. Quando esse serviço não estiver disponível, os serviços de rede usando o FD e que dependem desses protocolos de descoberta não conseguirão localizar os recursos ou dispositivos de rede."
Host de Sincronização_1c1eca42;OneSyncSvc_1c1eca42;Automatic;224;"Este serviço sincroniza emails, contatos, calendários e vários outros dados do usuário. Emails e outros aplicativos dependentes dessa funcionalidade não funcionarão adequadamente quando este serviço não estiver em execução."
Host do Serviço de Diagnóstico;WdiServiceHost;Manual;Win32OwnProcess, Win32ShareProcess;"O Host do Serviço de Diagnóstico é usado pelo Serviço de Política de Diagnóstico para hospedar diagnósticos que precisam ser executados em um contexto do Serviço Local. Se esse serviço for interrompido, os diagnósticos que dependem dele não funcionarão."
Host do Sistema de Diagnósticos;WdiSystemHost;Manual;Win32OwnProcess, Win32ShareProcess;"O Host do Sistema de Diagnóstico é usado pelo Serviço de Política de Diagnóstico para hospedar diagnósticos que precisam ser executados em um contexto do Sistema Local. Se esse serviço for interrompido, os diagnósticos que dependem dele não funcionarão."
